Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Apoptosis inhibitor 5	Api5		565476.05
Apoptosis regulator BAX	Bax	108.12	1178434.32
Apoptosis-enhancing nuclease	Aen	41.34	76542.43
Apoptosis-inducing factor 1, mitochondrial	Aifm1	37.22	565808.66
Apoptosis-inducing factor 2	Aifm2	5.27	17988
Apoptosis-stimulating of p53 protein 1	Ppp1r13b	4.59	1581.86
Apoptotic chromatin condensation inducer 1	Acin1	24.5	90768.56
Apoptotic protease-activating factor 1	Apaf1	3.56	22090.57
Aptx protein	Aptx		3615.52
A-Raf proto-oncogene serine/threonine-protein kinase	Araf	14.93	1846.18
ARF GTPase-activating protein GIT1	Git1	29.68	17991.18
Arfaptin-2	Arfip2	12.92	39858.22
Arf-GAP domain and FG repeats-containing protein 1	Agfg1	16.07	46809.93
ARFGAP with coiled-coil, ANK repeat and PH domain-containing protein 2	Acap2	6.85	367.71
Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	Asap1		43195.82
Arf-GAP, Rho-GAP domain, ANK repeat and PH domain-containing protein 1	Arap1	4.5	4109.25
Arfip1 protein	Arfip1	12.6	225857.13
Arginine and glutamate-rich protein 1	Arglu1	34.68	583206.42
Argininosuccinate lyase	Asl	10.51	75941.5
Argininosuccinate synthase	Ass1	71.01	1524492.19
Arginyltransferase 1	Ate1	5.74	10722.19
Arginyl-tRNA synthetase, cytoplasmic	Rars	68.1	1000039.28
Armadillo repeat-containing protein 1	Armc1	11.99	73542.87
Armadillo repeat-containing protein 10	Armc10	8.3	131028.03
Armadillo repeat-containing protein 6	Armc6	7.75	69325.16
Armadillo repeat-containing protein 8	Armc8	5.01	8497.81
Arsenical pump-driving ATPase	Asna1	44.07	298500.26
Arylacetamide deacetylase-like 1	Aadacl1	4.91	37264.71
Arylamine N-acetyltransferase 2	Nat2	2.11	10842.51
Arylsulfatase A	Arsa		25320.61
Arylsulfatase B	Arsb	16.29	8315.39
Ascc3 protein	Ascc3	4.88	16461.5
Ashwin		3.4	8263.92
Asparagine synthetase [glutamine-hydrolyzing]	Asns	92.24	1495741.27
Asparaginyl-tRNA synthetase, cytoplasmic	Nars	81.48	923080.33
Aspartate aminotransferase, cytoplasmic	Got1	19.1	513795.27
Aspartate aminotransferase, mitochondrial	Got2	74.85	2621600.69
Aspartoacylase-2	Acy3	4.08	24278.54
Aspartyl aminopeptidase	Dnpep	12.97	228720.48
Aspartyl/asparaginyl beta-hydroxylase	Asph	6.05	87106.91
Aspartyl-tRNA synthetase, cytoplasmic	Dars	20.68	656581.88
Astrocytic phosphoprotein PEA-15	Pea15	29.54	435599.34
AT rich interactive domain 1A (Swi1 like)	Arid1a	13.21	3593.16
Ataxin-10	Atxn10	83.21	849845.43
Ataxin-2	Atxn2	13.12	35697.73
Ataxin-2-like protein	Atxn2l	46.22	212460.03
AT-hook-containing transcription factor 1	Ahctf1	19.28	15805.26
Atlastin-2	Atl2	10.54	20856.57
Atlastin-3	Atl3	10.51	123672.99
ATP synthase mitochondrial F1 complex assembly factor 2	Atpaf2	4.85	27325.62
ATP synthase protein 8	Mtatp8		34738.52
ATP synthase subunit alpha, mitochondrial	Atp5a1	152.25	3529936.82
ATP synthase subunit b, mitochondrial	Atp5f1	75.32	659049.97
ATP synthase subunit beta, mitochondrial	Atp5b	502.07	4591725.26
ATP synthase subunit d, mitochondrial	Atp5h	116.95	1478152.83
ATP synthase subunit delta, mitochondrial	Atp5d	137.26	2199041.05
ATP synthase subunit e, mitochondrial	Atp5i	167.2	866779.96
ATP synthase subunit f, mitochondrial	Atp5j2		1164533.65
ATP synthase subunit g, mitochondrial	Atp5l		312488.81
ATP synthase subunit gamma, mitochondrial	Atp5c1	94.33	1696347.93
ATP synthase subunit O, mitochondrial	Atp5o	151.07	2095607.52
ATP synthase-coupling factor 6, mitochondrial	Atp5j	91.49	2652.92
ATPase family AAA domain-containing protein 1	Atad1	24.72	264775.64
ATPase family AAA domain-containing protein 2	Atad2	29.12	84584.4
ATPase family AAA domain-containing protein 3	Atad3		182721.81
ATPase family AAA domain-containing protein 5	Atad5	6.81	839.24
ATPase inhibitor, mitochondrial	Atpif1	78.31	268711.11
ATPase type 13A1	Atp13a1	20.8	16180.78
ATPase WRNIP1	Wrnip1	20.18	13699.47
ATP-binding cassette sub-family B (MDR/TAP) member 11	Abcb11		920.28
ATP-binding cassette sub-family E member 1	Abce1	55.72	563780.46
ATP-binding cassette sub-family F member 1	Abcf1	56.37	125975.1
ATP-binding cassette sub-family F member 2	Abcf2	78.7	419343.92
ATP-binding cassette sub-family F member 3	Abcf3	11.85	45882.19
ATP-binding cassette, sub-family B (MDR/TAP), member 7	Abcb7	5.36	5439.83
ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Abcc4		6533.8
ATP-binding domain-containing protein 4	Atpbd4	9.44	22607.01
ATP-dependent DNA helicase 2 subunit 1	Xrcc6	29.23	38893.12
ATP-dependent DNA helicase 2 subunit 2	Xrcc5	5.36	8505.01
ATP-dependent DNA helicase Q4	Recql4	15.74	2414.54
ATP-dependent metalloprotease YME1L1	Yme1l1	19.46	71533.58
ATP-dependent RNA helicase A	Dhx9	64.63	1017364.24
ATP-dependent RNA helicase DDX1	Ddx1	71.76	317678.95
ATP-dependent RNA helicase DDX18	Ddx18	76	456591.09
ATP-dependent RNA helicase DDX19A	Ddx19a	14.62	68979.01
ATP-dependent RNA helicase DDX24	Ddx24	29.64	46422.16
ATP-dependent RNA helicase DDX39	Ddx39	59.99	224223.38
ATP-dependent RNA helicase DDX3X	Ddx3x	136.81	3047443.91
ATP-dependent RNA helicase DDX42	Ddx42	19.11	61425.76
ATP-dependent RNA helicase DDX50	Ddx50	21.91	36837.11
ATP-dependent RNA helicase DDX51	Ddx51	10.35	34686.12
ATP-dependent RNA helicase DDX55	Ddx55	6.48	13614.41
ATP-dependent RNA helicase Dhx29	Dhx29		37519.71
ATP-dependent RNA helicase DHX8	Dhx8	14.84	21686.06
ATP-dependent RNA helicase SUPV3L1, mitochondrial	Supv3l1	15.32	16555.29
Atrial natriuretic peptide clearance receptor	Npr3	5.77	1099.89
AU042671 protein	AU042671		222.41
Autocrine motility factor receptor	Amfr	29.53	2228.88
Autophagy-related protein 16-1	Atg16l1	11.22	6384.69
Autophagy-related protein 2 homolog B	Atg2b	4.52	618.32
Autophagy-related protein 7	Atg7	5.73	4986.78
Axin interactor, dorsalization-associated protein	Aida		9136.31
Baculoviral IAP repeat-containing protein 5	Birc5		13084.75
BAG family molecular chaperone regulator 1	Bag1	65.06	28559.05
BAG family molecular chaperone regulator 2	Bag2	18.29	374502.56
Band 4.1-like protein 1	Epb41l1	21.8	11196.02
Band 4.1-like protein 3	Epb41l3	15.29	37038.46
Barrier-to-autointegration factor	Banf1	179.72	618368.31
Basic leucine zipper and W2 domain-containing protein 1	Bzw1	95.2	945629.12
Basic leucine zipper and W2 domain-containing protein 2	Bzw2	65.98	481105.52
Basigin	Bsg	222.21	284231.22
BAT2 domain-containing protein 1	Bat2d1	30.9	58353.41
B-cell CLL/lymphoma 9-like protein	Bcl9l	13.2	1042.15
B-cell receptor-associated protein 29	Bcap29	10.94	93441.24
B-cell receptor-associated protein 31	Bcap31	79.62	2054908.66
Bcl10-interacting CARD protein	1110007C09Rik	23.71	57987.49
Bcl-2 homologous antagonist/killer	Bak1	37.15	195867.15
BCL2-associated athanogene 3	Bag3	19.99	50938.6
Bcl-2-associated transcription factor 1	Bclaf1	15.17	127306.61
Bcl-2-like protein 13	Bcl2l13	6.46	84524.73
Bcl-2-like protein 15	Bcl2l15	6.34	25611.79
Bcl-x-gamma	Bcl2l1	19.99	12817.06
Beclin-1	Becn1	25.78	12159.23
BET1 homolog	Bet1	5.25	121888.49
BET1-like protein	Bet1l		9033.21
Beta III spectrin	Spnb3		2545.87
Beta-1,3-galactosyltransferase 6	B3galt6		5854.56
Beta-2-microglobulin	B2m	298.7	59630.77
Beta-actin-like protein 2	Actbl2		2486619.37
Beta-adrenergic receptor kinase 1	Adrbk1	30.73	10505.29
Beta-catenin-like protein 1	Ctnnbl1	9.82	103129.08
Beta-centractin	Actr1b	46.63	139861.47
BetaCstF-64 variant 3	Cstf2	13.61	64217.58
Beta-enolase	Eno3	35.02	366729.08
Beta-galactosidase	Glb1	10.13	3527.88
Beta-hexosaminidase subunit beta	Hexb	7.9	1357.84
BetaIV-spectrin sigma6-A	Spnb4		6401.01
Beta-lactamase-like protein 2	Lactb2	3.08	28172.77
Beta-parvin	Parvb	23.79	9455.33
BH3-interacting domain death agonist	Bid	24.34	248166.6
BH-protocadherin-a	Pcdh7	46.37	28169.92
Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthetase 1	Papss1	21.72	142970
Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)	Dak	8.48	59224
Bifunctional coenzyme A synthase	Coasy	5.57	12887.8
Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	Mthfd2	71.41	304236.87
Bifunctional polynucleotide phosphatase/kinase	Pnkp	7.03	25967.93
Bifunctional protein NCOAT	Mgea5	20.75	5478.7
Bifunctional purine biosynthesis protein PURH	Atic	84.56	1915895.73
Biglycan	Bgn	428.98	82174.32
Biliverdin reductase A	Blvra	12.55	406693.93
Biogenesis of lysosome-related organelles complex 1 subunit 1	Bloc1s1		30580.35
Biogenesis of lysosome-related organelles complex 1 subunit 2	Bloc1s2	19.02	19637.71
Biogenesis of lysosome-related organelles complex 1 subunit 3	Bloc1s3	2.29	11202.2
Bisphosphoglycerate mutase	Bpgm	26.62	232668.09
Bleomycin hydrolase	Blmh	20.47	174400.33
BMP-2-inducible protein kinase	Bmp2k	5.19	2350.07
BNIP2 motif-containing molecule at the C-terminal region 1	Bmcc1	8.57	4497.55
BolA-like protein 1	Bola1	4.4	41102.87
BolA-like protein 2	Bola2	85.86	254283.98
Bone marrow stromal antigen 2	Bst2	50.71	60309.05
Borealin	Cdca8	36.44	30963.51
Brain acid soluble protein 1	Basp1	66.91	304265.64
Brain protein 16	Brp16	35.36	323501.34
Brain protein 44-like protein	Brp44l		43748.98
Brain-specific angiogenesis inhibitor 1-associated protein 2	Baiap2		197599.62
Brain-specific ankyrin-G	Ank3	2.26	919.27
Branched-chain-amino-acid aminotransferase	Bcat1		404873.04
BRCA1-A complex subunit BRE	Bre	11.76	11645.35
BRCA1-associated protein	Brap	13.33	1657.54
BRCA2 and CDKN1A-interacting protein	Bccip	30.73	137203.38
Breakpoint cluster region protein	Bcr	14.4	5197.35
Breast cancer anti-estrogen resistance protein 1	Bcar1	22.8	7166.9
BRI3-binding protein	Bri3bp	9.5	454941.5
Brix domain-containing protein 1	Bxdc1	11.97	274789.9
Brix domain-containing protein 2	Bxdc2	26.17	804221.03
BRO1 domain-containing protein BROX	Brox		36305.82
Bromodomain adjacent to zinc finger domain protein 1A	Baz1a		33507.13
Bromodomain and WD repeat-containing protein 2	Brwd2	6.72	10410.91
Bromodomain PHD finger transcription factor	Bptf	15.23	3019.22
Bromodomain-containing protein 2	Brd2		9111.54
Bromodomain-containing protein 3	Brd3	9.31	2788.14
Bromodomain-containing protein 4	Brd4	22.83	19953.37
BTB/POZ domain-containing protein KCTD10	Kctd10	85.28	99472.74
BTB/POZ domain-containing protein KCTD5	Kctd5	11.2	18669.94
Budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	Bub3	72.46	833702.39
Bullous pemphigoid antigen 1, isoform 5	Dst		29817.22
Bullous pemphigoid antigen 1, isoforms 6/7	Dst		3191.99
Bystin	Bysl	18.12	245097.97
C-4 methylsterol oxidase	Sc4mol	12.76	17474.01
CAAX box 1 homolog A	Cxx1a		21197.37
CAAX prenyl protease 1 homolog	Zmpste24	21.77	103577.71
Cadherin-11	Cdh11	12.57	1523.4
Cadherin-2	Cdh2	19.19	16697.93
Calcineurin subunit B type 1	Ppp3r1	23.76	84337.37
Calcineurin-like phosphoesterase domain-containing protein 1	Cpped1	7.46	35240.58
Calcium homeostasis endoplasmic reticulum protein	Cherp	20.7	40155.81
Calcium signal-modulating cyclophilin ligand	Camlg	9.38	4918.86
Calcium/calmodulin-dependent protein kinase type 1	Camk1	11.18	14120.88
Calcium/calmodulin-dependent protein kinase type II delta chain	Camk2d	15.85	203839.68
Calcium/calmodulin-dependent protein kinase type II gamma chain	Camk2g	7.55	5407.16
Calcium-binding atopy-related autoantigen 1	Cbara1	26.42	13015.99
Calcium-binding mitochondrial carrier protein Aralar1	Slc25a12	13.83	261227.27
Calcium-binding mitochondrial carrier protein Aralar2	Slc25a13	11.78	121626.24
Calcium-binding mitochondrial carrier protein SCaMC-1	Slc25a24	40.12	564506.44
Calcium-binding protein 39	Cab39	20.55	189497.14
Calcium-binding protein p22	Chp	23.33	346891.56
Calcium-regulated heat stable protein 1	Carhsp1	25.95	151905.81
Calcyclin-binding protein	Cacybp	86.71	4284737.35
Calmodulin-regulated spectrin-associated protein 1	Camsap1	7.92	934.96
Calnexin	Canx	98.45	905919.48
Calpain small subunit 1	Capns1	167.99	1153461.42
Calpain-1 catalytic subunit	Capn1	17.73	42427.79
Calpain-2 catalytic subunit	Capn2	60.16	360796.44
Calpastatin	Cast	23.08	36988.23
Calponin-2	Cnn2	179.1	905691.73
Calponin-3	Cnn3	82.48	513322.51
Calreticulin	Calr	300.29	2099199.83
Calsyntenin-1	Clstn1	65.7	499.37
Calumenin	Calu	161.49	76544.3
cAMP-dependent protein kinase catalytic subunit alpha	Prkaca	24.11	585529.99
cAMP-dependent protein kinase catalytic subunit beta	Prkacb	16.43	87272.45
cAMP-dependent protein kinase type II-beta regulatory subunit	Prkar2b	42.05	662719.06
cAMP-regulated phosphoprotein 19	Arpp19	16.16	4170.51
Camsap1l1 protein	Camsap1l1	7.9	786.7
CAP-Gly domain-containing linker protein 1	Clip1	11.75	64948.59
CAP-Gly domain-containing linker protein 2	Clip2	14.76	19358.05
Caprin-1	Caprin1	55.01	408982.06
CAPZB3	Capzb	112.2	1639012.89
Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Cad	43.66	376948.69
Carbohydrate kinase domain-containing protein	Carkd		38217.89
Carbohydrate sulfotransferase 14	Chst14	8.68	3869.44
Carbonic anhydrase 13	Ca13	5.48	89631.83
Carbonic anhydrase 5B, mitochondrial	Ca5b	7.54	10999.51
Carbonyl reductase 3	Cbr3	13.71	253659.39
Carbonyl reductase 4	Cbr4	1.64	33306.89
Carboxypeptidase D	Cpd	14.6	42224.34
Cardiotrophin-1	Ctf1	2.03	3335.45
Carnitine O-acetyltransferase	Crat	9.06	14424.94
Carnitine O-palmitoyltransferase 1, liver isoform	Cpt1a	13.63	1062.78
Carnitine palmitoyltransferase 2	Cpt2	4.94	49335.41
Casein kinase I isoform alpha	Csnk1a1	36.94	176455.07
Casein kinase I isoform delta	Csnk1d		137140.64
Casein kinase I isoform epsilon	Csnk1e	20.55	11283.17
Casein kinase II alpha subunit	Csnk2a1	18.85	811713.15
Casein kinase II subunit alpha'	Csnk2a2	10.62	505777.88
Casein kinase II subunit beta	Csnk2b	62.01	793586.22
Caseinolytic peptidase B protein homolog	Clpb	9.64	58154.38
Caseinolytic peptidase X (E.coli)	Clpx	10.12	124666.26
Cask-interacting protein 2	Caskin2	7.25	6362.65
Caspase-3	Casp3	16.18	311099.58
Caspase-6	Casp6	9.48	80900.86
Caspase-7	Casp7	2.71	4633.34
Caspase-8	Casp8	7.04	13145.66
Catalase	Cat	11.01	241963.8
Catechol O-methyltransferase	Comt	34.13	170216.18
Catechol-O-methyltransferase domain-containing protein 1	Comtd1	3.08	77609.13
Catenin alpha-1	Ctnna1	62.24	181186.86
Catenin beta-1	Ctnnb1		24929.01
Catenin delta-1	Ctnnd1	30.06	111618.38
Cathepsin L1	Ctsl1	446.23	248942.19
Cathepsin Z	Ctsz	32.66	20399.79
Cation transport regulator-like protein 2	Chac2	2.73	26157.32
Cation-dependent mannose-6-phosphate receptor	M6pr	49.74	255585.73
Cation-independent mannose-6-phosphate receptor	Igf2r	1.47	1539.02
Caveolin-1	Cav1	87.09	3374241.91
Caveolin-2	Cav2	22.68	393983.21
Cbp37	Trip12	20.52	35806.09
CCAAT/enhancer-binding protein beta	Cebpb	38.7	81819.81
CCAAT/enhancer-binding protein zeta	Cebpz	17.89	62718.74
Ccnc protein	Ccnc	3.34	10121.18
CCR4-NOT transcription complex subunit 1	Cnot1	29.9	58488.17
CCR4-NOT transcription complex subunit 10	Cnot10		9528.51
CCR4-NOT transcription complex subunit 3	Cnot3	28.2	16529.27
CCR4-NOT transcription complex subunit 7	Cnot7	9.95	14608.68
CCR4-NOT transcription complex subunit 8	Cnot8	13.29	14302.55
CD109 antigen	Cd109	13.75	40341.92
CD151 antigen	Cd151		203754.16
CD166 antigen	Alcam	9.99	28081.62
CD2 antigen cytoplasmic tail-binding protein 2	Cd2bp2	14.75	34437.68
CD2-associated protein	Cd2ap	9.22	24784.54
CD44 antigen	Cd44	58.47	239936.09
CD63 antigen	Cd63		904481.11
CD9 antigen	Cd9	132.39	241593.79
Cdc42 effector protein 1	Cdc42ep1	22.09	45345.39
CDC42 small effector protein 2	Cdc42se2	13.12	15755.31
Cdc42bpa protein	Cdc42bpa	10.09	14207.12
Cdc42-interacting protein 4	Trip10	17.4	29598.97
CDGSH iron sulfur domain-containing protein 1	Cisd1	67.68	1441983.9
CDGSH iron sulfur domain-containing protein 2	Cisd2	13.55	507896.64
CDK5 regulatory subunit-associated protein 2	Cdk5rap2	8.06	1434.55
CDK5 regulatory subunit-associated protein 3	Cdk5rap3	10.98	17553.11
CDK-activating kinase assembly factor MAT1	Mnat1	6.38	59192.91
CDKN2A-interacting protein	Cdkn2aip	2.06	7031.49
CDKN2AIP N-terminal-like protein	Cdkn2aipnl	11.46	40981.58
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial	Pgs1		1825.67
CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Cdipt	32.08	108308.67
Cell cycle checkpoint protein RAD1	Rad1	10.07	16700.77
Cell differentiation protein RCD1 homolog	Rqcd1	22.61	280525.85
Cell division control protein 2 homolog	Cdc2	64.58	2922812.65
Cell division control protein 42 homolog	Cdc42	89.32	2029474
Cell division cycle 27 homolog (S. cerevisiae)	Cdc27	14.96	16184.59
Cell division cycle 2-related protein kinase 7	Crkrs	9.75	3805.96
Cell division cycle 5-related protein	Cdc5l	17.47	117315.33
Cell division cycle and apoptosis regulator protein 1	Ccar1	29.87	79848.19
Cell division cycle protein 123 homolog	Cdc123	45.13	140758.68
Cell division cycle protein 16 homolog	Cdc16	28.92	23698.39
Cell division cycle protein 23 homolog	Cdc23	13.21	24262.56
Cell division protein kinase 2	Cdk2		244471.16
Cell division protein kinase 4	Cdk4	225.68	468689.78
Cell division protein kinase 5	Cdk5	9.64	36228.27
Cell division protein kinase 6	Cdk6	23.3	334599.84
Cell division protein kinase 7	Cdk7	3.42	127657.57
Cell division protein kinase 9	Cdk9	11.38	86547.42
Cell growth-regulating nucleolar protein	Lyar	46.4	210834.33
Cellular nucleic acid-binding protein	Cnbp	251.82	410186.02
Centrin-2	Cetn2	15.85	48465.48
Centromere protein K	Cenpk	3.41	16789.64
Centromere/kinetochore protein zw10 homolog	Zw10	13.2	29450.63
Centrosomal protein of 170 kDa	Cep170	12.32	20351.39
Centrosomal protein of 55 kDa	Cep55	10.44	9125.99
Cerebral protein 1 homolog	1500003O22Rik	25.19	117429.49
CGG triplet repeat-binding protein 1	Cggbp1	12.58	163084.91
cGMP-inhibited 3',5'-cyclic phosphodiesterase B	Pde3b		1188.78
Charged multivesicular body protein 1a	Chmp1a		73144.91
Charged multivesicular body protein 1b-1	Chmp1b1	3.61	14907.55
Charged multivesicular body protein 1b-2	Chmp1b2	3.01	246826.06
Charged multivesicular body protein 2a	Chmp2a	65.75	614498.28
Charged multivesicular body protein 2b	Chmp2b	12.27	40588.03
Charged multivesicular body protein 3	Vps24	20.8	96029.74
Charged multivesicular body protein 4b	Chmp4b	46.54	304212.62
Charged multivesicular body protein 5	Chmp5	19.57	116407.83
Charged multivesicular body protein 6	Chmp6		19871.48
Charged multivesicular body protein 7	Chmp7	8.58	5672.95
Checkpoint protein HUS1	Hus1	4.65	10861.31
Chloride channel 5	Clcn5	4.29	954.06
Chloride channel CLIC-like 1	Clcc1	6.88	4807.61
Chloride channel regulator	Clns1a	47.24	185234.18
Chloride intracellular channel protein 1	Clic1	152.64	1832203.47
Chloride intracellular channel protein 4	Clic4	43.87	1228214.14
Choline kinase alpha	Chka	19.57	19631.61
Choline transporter-like protein 2	Slc44a2	16.87	1628.7
Choline/ethanolamine kinase	Chkb		29555.38
Choline/ethanolaminephosphotransferase 1	Cept1	9.74	8040.63
Choline-phosphate cytidylyltransferase A	Pcyt1a	8.7	21789.28
Chromatin accessibility complex protein 1	Chrac1	29.82	141920.5
Chromatin assembly factor 1 subunit A	Chaf1a	27.15	23454.84
Chromatin assembly factor 1 subunit B	Chaf1b	18.75	59627.11
Chromatin modification-related protein EAF6 homolog	Eaf6	12.34	39977.76
Chromobox homolog 3 (Drosophila HP1 gamma)	Cbx3		1870599.33
Chromobox protein homolog 1	Cbx1	26.09	294148.26
Chromobox protein homolog 5	Cbx5		1724699.47
Chromobox protein homolog 6	Cbx6	46.13	372.02
Chromobox protein homolog 8	Cbx8		12204.26
Chromodomain helicase DNA binding protein 3	Chd3	5.61	1560.58
Chromodomain-helicase-DNA-binding protein 1	Chd1	10.21	18245.19
Chromodomain-helicase-DNA-binding protein 8	Chd8	8.86	2863.37
Chromosome transmission fidelity protein 18 homolog	Chtf18	13.68	3399.39
Chromosome transmission fidelity protein 8 homolog	Chtf8	19.94	59336.91
Chronic lymphocytic leukemia deletion region gene 6 protein homolog	Clld6	5.11	20352.86
Cirhin	Cirh1a	49.26	69532.8
Cisplatin resistance-associated overexpressed protein	Crop	22.97	248157.74
Citrate synthase	Csl	14.87	20914.74
Citrate synthase, mitochondrial	Cs	98.65	3269886.1
Citron Rho-interacting kinase	Cit		4096.22
Citron Rho-interacting kinase	Cit		32870.12
C-jun-amino-terminal kinase-interacting protein 3	Mapk8ip3	14.56	6358.6
C-jun-amino-terminal kinase-interacting protein 4	Spag9	11.69	32308.75
CKLF-like MARVEL transmembrane domain-containing protein 7	Cmtm7		28376.13
Clathrin interactor 1	Clint1	25.71	87950.34
Clathrin light chain B	Cltb	17.13	94352.49
Clathrin light polypeptide (Lca)	Clta	89.5	1134211.52
Clathrin, heavy polypeptide (Hc)	Cltc	126.91	2060188.55
Cleavage and polyadenylation specific factor 4 isoform 1	Cpsf4		36831.22
Cleavage and polyadenylation specificity factor subunit 1	Cpsf1	30.74	13810.22
Cleavage and polyadenylation specificity factor subunit 2	Cpsf2	10.94	42606.46
